full_address,postal_code,city,price,type,rooms,sq_m,sq_m_cellar
"Dr Mølle Strandvej 568S, 3120 Dronningmølle",3120,Dronningmølle,1950000,Fritidsbolig,3,43,
"Langholmvænget 26, Langholm, 4983 Dannemare",4983,Dannemare,975000,Fritidsbolig,4,80,
"Engvangen 27, Høve, 4550 Asnæs",4550,Asnæs,1195000,Fritidsbolig,3,72,
"Hovborgvej 34S, Tofterup  Hytte nr. 35",,,485000,Fritidsbolig,2,35,
Pumavej 1,,,1098000,Fritidsbolig,3,90,
"Nybyvej 11, Rindby Strand, 6720 Fanø",6720,Fanø,3395000,Fritidsbolig,6,173,
"Redningsvejen 47, Nymindegab, 6830 Nørre Nebel",6830,Nørre Nebel,3295000,Fritidsbolig,6,79,
"Vinkelbæk 16, Lavensby Mark",,Lavensby Mark,1600000,Fritidsbolig,4,82,
"Strandskadevej 40, Store Sjørup, 8950 Ørsted",8950,Ørsted,1895000,Fritidsbolig,4,123,
"Strandvejen 52, st. 73, Fanø Bad, 6720 Fanø",6720,Fanø,525000,Fritidsbolig,2,48,
"Modinsvej Vest 16, Bjerge Sydstrand, 4480 Store Fuglede",4480,Store Fuglede,2995000,Fritidsbolig,2,27,
"Nestorvej 1, 9370 Hals",9370,Hals,2390000,Fritidsbolig,5,119,
"Asbo 7, As Vig",,As Vig,3995000,Fritidsbolig,4,72,
"Strandvejen 52, 1. 57, Fanø Bad, 6720 Fanø",6720,Fanø,525000,Fritidsbolig,2,39,
"Hedestien 3, Sillerslev, 7990 Øster Assels",7990,Øster Assels,875000,Fritidsbolig,4,89,
"Kulhusgårdsvej 20, Kulhuse, 3630 Jægerspris",3630,Jægerspris,1395000,Fritidsbolig,3,77,
"Spiræavej 25, Skødshoved Strand",,Skødshoved Strand,2495000,Fritidsbolig,4,86,
"Rylevej 1, Gundestrup, 4571 Grevinge",4571,Grevinge,495000,Fritidsbolig,3,40,
"Digestien 146L, 4970 Rødby",4970,Rødby,1800000,Fritidsbolig,4,103,
"Harestien 6, 6857 Blåvand",6857,Blåvand,3800000,Fritidsbolig,4,109,
"Egevang 3, Lumsås, 4500 Nykøbing Sj",4500,Nykøbing Sj,1450000,Fritidsbolig,3,71,
"Golfsvinget 40, 6200 Aabenraa",6200,Aabenraa,1395000,Fritidsbolig,4,103,
"Vidjeparken 90, Helberskov, 9560 Hadsund",9560,Hadsund,695000,Fritidsbolig,3,48,
"Hummingen Strandvej 47, Hummingen, 4983 Dannemare",4983,Dannemare,785000,Fritidsbolig,2,48,
"Rævlingevej 2, Reersø Ornum, 4281 Gørlev",4281,Gørlev,1095000,Fritidsbolig,3,53,
"Vejby Strandvej 1, 3210 Vejby",3210,Vejby,6495000,Fritidsbolig,4,129,
"Borgsvej 2, Sjelborg, 6710 Esbjerg V",6710,Esbjerg V,2648000,Fritidsbolig,2,54,
"Lyngevej 17, 14, 8420 Knebel",8420,Knebel,498000,Fritidsbolig,3,61,
"Tjørnelunden 15, Bjerge Str, 4480 Store Fuglede",4480,Store Fuglede,1695000,Fritidsbolig,4,79,
"Strandparksvej 74, Saksild Str, 8300 Odder",8300,Odder,2150000,Fritidsbolig,5,60,
"Stavildvej 59D, Lynderup",,Lynderup,1095000,Fritidsbolig,4,70,
"Danvej 30, 2740 Skovlunde",2740,Skovlunde,1750000,Fritidsbolig,3,50,
"Tirsdagsengen 62, 3400 Hillerød",3400,Hillerød,1655000,Fritidsbolig,2,65,
"Pilestien 304A, 4970 Rødby",4970,Rødby,1325000,Fritidsbolig,4,69,
"Lyngsbækvej 18, Lyngsbæk Strand",,Lyngsbæk Strand,2995000,Fritidsbolig,5,152,
"Privatvej 31A, Asserbo, 3300 Frederiksværk",3300,Frederiksværk,7995000,Fritidsbolig,4,149,
"Strandskadevej 11, Store Sjørup, 8950 Ørsted",8950,Ørsted,1235000,Fritidsbolig,4,120,
"Pilestien 234, 7190 Billund",7190,Billund,1765000,Fritidsbolig,3,72,
"Solsortevej 10, Kettingskov, 6440 Augustenborg",6440,Augustenborg,545000,Fritidsbolig,3,52,
"Plantagevej 10, 4400 Kalundborg",4400,Kalundborg,1495000,Fritidsbolig,2,33,
"Møllehusvej 49, 6857 Blåvand",6857,Blåvand,2848000,Fritidsbolig,4,83,
"Golfsvinget 298, Gatten, 9640 Farsø",9640,Farsø,1495000,Fritidsbolig,3,66,
"Karen Brands Vej 169, 6960 Hvide Sande",6960,Hvide Sande,1698000,Fritidsbolig,3,68,
"Holmevej 26, Bjerge Strand",,Bjerge Strand,1295000,Fritidsbolig,3,62,
"Nordvang 38, Øster Hurup",,Øster Hurup,1195000,Fritidsbolig,3,56,
"Feriebyen 5, 3250 Gilleleje",3250,Gilleleje,3700000,Fritidsbolig,4,98,
"Langs Diget 13, 3220 Tisvildeleje",3220,Tisvildeleje,14550000,Fritidsbolig,5,147,68.0
"Oksevej 38, Bunken, 9982 Ålbæk",9982,Ålbæk,1895000,Fritidsbolig,4,88,
"Birkestien 137, 7190 Billund",7190,Billund,1920000,Fritidsbolig,4,82,
"Bjerges Leje 3, Sønderho, 6720 Fanø",6720,Fanø,1895000,Fritidsbolig,6,106,
"Fjorddalen 7, Hjarbæk",,Hjarbæk,2045000,Fritidsbolig,4,102,
"Frits Nielsens Vej 12, 3210 Vejby",3210,Vejby,2595000,Fritidsbolig,2,68,
"Kegnæsmose 14, Kegnæs",,Kegnæs,950000,Fritidsbolig,3,67,
"Helsingevej 89, 3300 Frederiksværk",3300,Frederiksværk,5986000,Fritidsbolig,2,52,52.0
"Gåsehagevej 1E, Øer Strand",,Øer Strand,1998000,Fritidsbolig,5,124,
"Lyngstien 10, 9982 Ålbæk",9982,Ålbæk,1995000,Fritidsbolig,5,101,
"Gyvelvej 15, Tversted, 9881 Bindslev",9881,Bindslev,1195000,Fritidsbolig,3,70,
"Bjerregårdsvej 10, Bjerregaard, 6960 Hvide Sande",6960,Hvide Sande,1650000,Fritidsbolig,4,108,
"Strandagervej 7, 3250 Gilleleje",3250,Gilleleje,4950000,Fritidsbolig,4,108,
"Bramsensgårdvej 32, 6100 Haderslev",6100,Haderslev,2745000,Fritidsbolig,5,143,
"Hejrevej 75, 4760 Vordingborg",4760,Vordingborg,1195000,Fritidsbolig,4,96,
"Klæbjergvej 8, Esby",,Esby,2175000,Fritidsbolig,3,100,
"Mindevej 20, Dalby Strand, 4281 Gørlev",4281,Gørlev,349000,Fritidsbolig,3,27,
"Baroniet 19, 3100 Hornbæk",3100,Hornbæk,4900000,Fritidsbolig,4,64,
"Forårsvej 8, Skal Klit, 9800 Hjørring",9800,Hjørring,1375000,Fritidsbolig,3,47,
"Blåbærvej 5, Skaven",,Skaven,1975000,Fritidsbolig,4,117,
"Dyremosevej 1, 3370 Melby",3370,Melby,2395000,Fritidsbolig,4,99,
"Arvidvej 148, Bjerregaard, 6960 Hvide Sande",6960,Hvide Sande,3198000,Fritidsbolig,5,120,
"Lyngevej 17, 3, 8420 Knebel",8420,Knebel,575000,Fritidsbolig,3,61,
"Fiskenæsvej 2, 1. 3, 6300 Gråsten",6300,Gråsten,1725000,Fritidsbolig,2,60,
Hejsager Strandby 20,,,4495000,Fritidsbolig,3,80,
"Disneyvej 7, Klint Str V, 4500 Nykøbing Sj",4500,Nykøbing Sj,2495000,Fritidsbolig,3,67,
"Engledet 6, 3250 Gilleleje",3250,Gilleleje,2995000,Fritidsbolig,3,121,
"Petitvej 4, 4500 Nykøbing Sj",4500,Nykøbing Sj,1985000,Fritidsbolig,5,81,
"Askø Strandvig 245, 4942 Askø",4942,Askø,769000,Fritidsbolig,4,56,
"Strandvejen 61A, st. 107., Fanø Bad",,Fanø Bad,1295000,Fritidsbolig,2,44,
"Aarrildsøvej 21, 6853 Vejers Strand",6853,Vejers Strand,1995000,Fritidsbolig,3,80,
"Dværgstien 1, Kårup, 4540 Fårevejle",4540,Fårevejle,1995000,Fritidsbolig,3,35,
"Assegårdsvej 19, 3100 Hornbæk",3100,Hornbæk,4995000,Fritidsbolig,3,106,
"Kallesensvej 4, 6857 Blåvand",6857,Blåvand,4850000,Fritidsbolig,5,184,
"Østre Strand 21, Kobæk, 4230 Skælskør",4230,Skælskør,3995000,Fritidsbolig,4,122,
"Ternevej 50, Store Sjørup, 8950 Ørsted",8950,Ørsted,1250000,Fritidsbolig,4,76,
"Golfsvinget 4, Gatten, 9640 Farsø",9640,Farsø,1445000,Fritidsbolig,3,77,
"Brøndsholmvej 14, Rågeleje, 3210 Vejby",3210,Vejby,2545000,Fritidsbolig,4,104,
"Langholmparken 2, 4983 Dannemare",4983,Dannemare,580000,Fritidsbolig,3,110,
"Kronvildtvej 136, Krogen, 9460 Brovst",9460,Brovst,1195000,Fritidsbolig,4,90,
"Rørsangervej 36, Lodbj Hede, 6950 Ringkøbing",6950,Ringkøbing,2798000,Fritidsbolig,5,120,
"Nygårdsvej 10, Kaldred, 4593 Eskebjerg",4593,Eskebjerg,865000,Fritidsbolig,3,60,
"Sandlyngen 27, 3300 Frederiksværk",3300,Frederiksværk,2785000,Fritidsbolig,6,142,
"Bjergbovej 16, 6857 Blåvand",6857,Blåvand,3250000,Fritidsbolig,4,146,
"Mellemgaden 11, Nordby, 6720 Fanø",6720,Fanø,1600000,Fritidsbolig,2,41,
"Klintebjergvej 43, Klint, 4500 Nykøbing Sj",4500,Nykøbing Sj,5995000,Fritidsbolig,4,79,
"Månedalsvej 2, Tversted, 9881 Bindslev",9881,Bindslev,1645000,Fritidsbolig,4,77,
"P Snejkers Vej 23, Søndervig, 6950 Ringkøbing",6950,Ringkøbing,2298000,Fritidsbolig,5,149,
"Bækvej 6, Hasmark Strand, 5450 Otterup",5450,Otterup,1385000,Fritidsbolig,3,58,
"Frede Juels Vej 218, Sønderby, 7130 Juelsminde",7130,Juelsminde,2195000,Fritidsbolig,4,71,
"Hf. Sønderbro 41, 2791 Dragør",2791,Dragør,1195000,Fritidsbolig,3,48,
"Helligsøvej 12B, Draget",,Draget,1795000,Fritidsbolig,4,94,
"Astrup Vig 112, Astrup Vig, 7870 Roslev",7870,Roslev,1075000,Fritidsbolig,5,121,
"Hf. Maglebylund 167, 2791 Dragør",2791,Dragør,1495000,Fritidsbolig,4,48,
"Sandkrogen 14, Virksund",,Virksund,1495000,Fritidsbolig,3,70,
"Slettevej 7, 4180 Sorø",4180,Sorø,895000,Fritidsbolig,3,60,
"Slettevej 11, Rågeleje, 3210 Vejby",3210,Vejby,3250000,Fritidsbolig,4,63,
"Sandtag 32, Lønne, 6830 Nørre Nebel",6830,Nørre Nebel,1295000,Fritidsbolig,4,76,
"Agger Havn Feriecenter 89, Agger",,Agger,775000,Fritidsbolig,4,57,
"Golfsvinget 217, Gatten, 9640 Farsø",9640,Farsø,1495000,Fritidsbolig,3,66,
"Sandlodvej 7, 3250 Gilleleje",3250,Gilleleje,2995000,Fritidsbolig,4,68,
"Drejøvej 14, Bønnerup Strand, 8585 Glesborg",8585,Glesborg,825000,Fritidsbolig,2,45,
"Stenmosevej 5, Høve, 4550 Asnæs",4550,Asnæs,1795000,Fritidsbolig,5,126,
"Hylde-Ager 9, Smidstrup, 3250 Gilleleje",3250,Gilleleje,1795000,Fritidsbolig,4,61,
"Bækrenden 1, Lønstrup, 9800 Hjørring",9800,Hjørring,3995000,Fritidsbolig,4,100,
Tirsdagsengen 21,,,1435000,Fritidsbolig,2,50,
"Tredie Tangvej 6, 3100 Hornbæk",3100,Hornbæk,19800000,Fritidsbolig,8,224,
"Sortebærdalen 23, Houvig, 6950 Ringkøbing",6950,Ringkøbing,2695000,Fritidsbolig,6,120,
"Pilehavevej 9, Yderby Lyng, 4583 Sjællands Odde",4583,Sjællands Odde,2195000,Fritidsbolig,4,100,
Øerkrogvejen 2 119 &121,,,2995000,Fritidsbolig,7,114,
"Piledybet 59, Hesselbjerg, 5932 Humble",5932,Humble,1995000,Fritidsbolig,4,59,
"Lille Stege 16, Dyreborg, 5600 Faaborg",5600,Faaborg,5995000,Fritidsbolig,4,128,
"Stangevej 15, Østerlars, 3760 Gudhjem",3760,Gudhjem,2995000,Fritidsbolig,3,161,
"Yasmin-Rose Stien 63, Ejby, 2600 Glostrup",2600,Glostrup,1995000,Fritidsbolig,3,63,
"Eskelundsvej 16, 5466 Asperup",5466,Asperup,3295000,Fritidsbolig,5,102,
"Engdraget 10, Lyby Strand, 7870 Roslev",7870,Roslev,2395000,Fritidsbolig,4,98,
"Golfbanevej 310L, 4970 Rødby",4970,Rødby,1900000,Fritidsbolig,4,104,
"Lyngstien 57, Klitmøller, 7700 Thisted",7700,Thisted,2385000,Fritidsbolig,5,120,
"Mågevej 15, Store Sjørup, 8950 Ørsted",8950,Ørsted,995000,Fritidsbolig,2,83,
"Vestre Strandvej 47, Brønde, 4305 Orø",4305,Orø,2250000,Fritidsbolig,1,47,
"Klejs Skovvej 13, Klejs",,Klejs,725000,Fritidsbolig,2,55,
"Kliren 9, Langdal, 6792 Rømø",6792,Rømø,1895000,Fritidsbolig,4,110,
"Skovsangervej 8, Fuglsø",,Fuglsø,3499000,Fritidsbolig,4,93,
"Kalkvej 1, Vormark, 5874 Hesselager",5874,Hesselager,1499000,Villa,6,185,
"Stub-Åsen 3, Rågeleje, 3210 Vejby",3210,Vejby,1595000,Fritidsbolig,2,59,
"Stærevænget 35, Vellerup, 4050 Skibby",4050,Skibby,1395000,Fritidsbolig,2,62,
"Vandflodvej 10B, 6857 Blåvand",6857,Blåvand,7895000,Fritidsbolig,6,215,
"Rosningvej 119, 4953 Vesterborg",4953,Vesterborg,1095000,Villa,5,138,
"Vorbækvej 18, Saksild Str, 8300 Odder",8300,Odder,1695000,Fritidsbolig,3,64,
"Strandvejen 61C, st. 112, Fanø Bad, 6720 Fanø",6720,Fanø,1098000,Fritidsbolig,2,44,
"Hasselvang 8, Østrup, 3670 Veksø Sjælland",3670,Veksø Sjælland,2795000,Fritidsbolig,4,125,
"Hvidbjergvej 71, Søndervig, 6950 Ringkøbing",6950,Ringkøbing,2398000,Fritidsbolig,3,45,
"Store Agre 22, 4245 Omø",4245,Omø,1195000,Fritidsbolig,4,72,
"Porsdam 12, 2650 Hvidovre",2650,Hvidovre,1795000,Fritidsbolig,1,24,
"Ledgårdsvej 25, 3100 Hornbæk",3100,Hornbæk,7800000,Fritidsbolig,6,148,
"Havebyen 9, 4900 Nakskov",4900,Nakskov,485000,Villa,3,109,
"Rødhalsevej 18, Ll Kongsmark, 4200 Slagelse",4200,Slagelse,1650000,Fritidsbolig,4,90,
"Klint Strandvej 78, st. th, Nyrup, 4500 Nykøbing Sj",4500,Nykøbing Sj,1750000,Fritidsbolig,3,100,
"Fuglevænget 4, Bisserup, 4243 Rude",4243,Rude,2995000,Fritidsbolig,3,70,
"Stenlodsvej 5, Bjerge Sydstrand, 4480 Store Fuglede",4480,Store Fuglede,1395000,Fritidsbolig,3,56,
